file_id;file;counter_in;counter_out;deviations;start_frame;end_frame;status_id;Тип
1;1.mp4;3;0;0;0;0;0;
2;2.mp4;3;0;1;;;;
;;;;;70;550;3;без каски
3;3.mp4;3;0;1;;;;
;;;;;45;850;1;без каски и жилета
4;4.mp4;4;0;1;;;;
;;;;;210;1000;1;без каски и жилета
5;5.mp4;0;0;0;0;0;0;
6;6.mp4;1;4;4;;;;
;;;;;85;200;1;без каски и жилета
;;;;;160;220;1;без каски и жилета
;;;;;190;260;1;без каски и жилета
;;;;;240;310;1;без каски и жилета
7;7.mp4;0;4;4;;;;
;;;;;35;100;3;без каски
;;;;;100;400;1;без каски и жилета
;;;;;930;1000;3;без каски
;;;;;1050;1100;1;без каски и жилета
8;8.mp4;0;5;5;;;;
;;;;;50;135;1;без каски и жилета
;;;;;105;210;1;без каски и жилета
;;;;;145;465;1;без каски и жилета
;;;;;430;590;1;без каски и жилета
;;;;;590;670;1;без каски и жилета
9;9.mp4;1;1;1;;;;
;;;;;90;180;3;без каски
10;10.mp4;0;2;2;;;;
;;;;;40;260;3;без каски
;;;;;205;310;3;без каски
11;11.mp4;0;3;3;;;;
;;;;;25;250;1;без каски и жилета
;;;;;40;355;1;без каски и жилета
;;;;;445;540;3;без каски
12;12.mp4;0;4;3;;;;
;;;;;90;150;1;без каски и жилета
;;;;;105;190;1;без каски и жилета
;;;;;260;365;1;без каски и жилета
13;13.mp4;2;4;5;;;;
;;;;;70;190;3;без каски
;;;;;365;465;1;без каски и жилета
;;;;;440;576;1;без каски и жилета
;;;;;690;760;3;без каски
;;;;;740;830;3;без каски
14;14.mp4;0;3;0;0;0;0;
15;15.mp4;2;0;2;;;;
;;;;;0;260;1;без каски и жилета
;;;;;200;360;1;без каски и жилета
16;16.mp4;0;4;3;;;;
;;;;;55;250;3;без каски
;;;;;160;320;3;без каски
;;;;;280;570;1;без каски и жилета
17;17.mp4;0;6;5;;;;
;;;;;10;60;1;без каски и жилета
;;;;;70;115;1;без каски и жилета
;;;;;100;164;1;без каски и жилета
;;;;;180;340;3;без каски
;;;;;150;370;3;без каски
18;18.mp4;4;0;2;;;;
;;;;;90;148;2;без жилета
;;;;;118;185;2;без жилета
19;19.mp4;1;0;1;;;;
;;;;;22;100;3;без каски
20;20.mp4;1;0;1;;;;
;;;;;60;90;1;без каски и жилета
21;21.mp4;0;0;0;0;0;0;
22;22.mp4;0;3;2;;;;
;;;;;47;107;1;без каски и жилета
;;;;;292;349;1;без каски и жилета
23;23.mp4;0;1;1;;;;
;;;;;55;95;1;без каски и жилета
24;24.mp4;1;0;0;0;0;0;
25;25.mp4;2;0;2;;;;
;;;;;25;72;1;без каски и жилета
;;;;;78;246;1;без каски и жилета
26;26.mp4;0;1;1;;;;
;;;;;75;115;1;без каски и жилета
27;27.mp4;1;1;1;;;;
;;;;;20;82;1;без каски и жилета
28;28.mp4;1;1;1;;;;
;;;;;20;82;1;без каски и жилета
29;29.mp4;1;1;2;;;;
;;;;;28;127;1;без каски и жилета
;;;;;153;207;1;без каски и жилета
30;30.mp4;1;3;4;;;;
;;;;;0;1100;1;без каски и жилета
;;;;;1148;1220;3;без каски
;;;;;1214;1260;3;без каски
;;;;;1250;1300;3;без каски
31;31.mp4;0;2;0;0;0;0;
32;32.mp4;0;0;0;0;0;0;
33;33.mp4;0;0;0;0;0;0;
34;34.mp4;0;0;0;0;0;0;
35;35.mp4;0;0;0;0;0;0;
36;36.mp4;0;0;0;0;0;0;
37;37.mp4;0;0;0;0;0;0;
38;38.mp4;7;6;9;;;;
;;;;;75;115;1;без каски и жилета
;;;;;1189;1250;1;без каски и жилета
;;;;;1428;1485;1;без каски и жилета
